english,class,swedish,arabic,somali,persian,ukrainian,polish,spanish,bosnian,albanian
construction,(noun),konstruktion,بناء,dhismo,ساخت و ساز,будівництво,budowa,construcción,izgradnja,konstruksion
elevator,(noun),hiss,مصعد,wiish,آسانسور,ліфт,winda,ascensor,lift,ashensor
emotion,(noun),känsla,المشاعر,qiiro,هیجانی,емоція,emocja,emoción,emocija,emocion
employee,(noun),anställd,موظف,shaqaaley,کارمند,працівник,pracownik,empleado,zaposleni,punonjës
employer,(noun),arbetsgivare,صاحب العمل,loo-shaqeeye,کارفرما,роботодавець,pracodawca,empleador,poslodavac,punëdhënës
guest,(noun),gäst,ضيف,martiyad,مهمان,гість,gość,invitado,gost,i ftuar
height,(noun),höjd,ارتفاع,dherer,قد,висота,wysokość,altura,visina,lartësi
leadership,(noun),ledarskap,قيادة,hoggaminta,رهبری,лідерство,przywództwo,liderazgo,vođstvo,udhëheqje
mall,(noun),köpcenter,مجمع تجاري,suuqii,مرکز خرید,торговий центр,centrum handlowe,centro comercial,tržni centar,tregtar
manager,(noun),chef,مدير,maamule,مدیر,керівник,menedżer,gerente,menadžer,menaxher
operation,(noun),drift,عملية,qalliin,عمل,операція,operacja,operación,operacija,punë
recording,(noun),inspelning,تسجيل,duubidda,ضبط,запис,nagranie,grabación,snimanje,regjistrim
sample,(noun),prov,عينة,sanbal,نمونه,зразок,próbka,muestra,uzorak,mostër
transportation,(noun),transport,مواصلات,gaadiid qaadashada,حمل و نقل,перевезення,transport,transporte,prevoz,transportim
charity,(noun),välgörenhet,صدقة,Sadaqo,خیریه,благодійність,organizacja pożytku publicznego,caridad,dobrotvorna organizacija,bamirësi
cousin,(noun),kusin,ابن عم,habar wadaag,عمو زاده,двоюрідний брат,kuzyn,primo,rođak,kushëri
disaster,(noun),katastrof,كارثة,masiibo,فاجعه,катастрофа,katastrofa,desastre,katastrofa,fatkeqësi
editor,(noun),redaktör,محرر,diyaariso,ویرایشگر,редактор,redaktor,editor,urednik,redaktor
efficiency,(noun),effektivitet,كفاءة,waxqabad fiicni,بهره وری,ефективність,efektywność,eficiencia,efikasnost,efikasitet
excitement,(noun),spänning,الإثارة,farax,هیجان,хвилювання,podniecenie,excitación,uzbuđenje,ngacmim
extent,(noun),utsträckning,حد,waasac,میزان,обсяг,zakres,medida,opseg,shtrirje
feedback,(noun),respons,تعليق,jawaab celin,بازخورد,зворотний зв'язок,informacja zwrotna,comentario,povratne informacije,reagim
guitar,(noun),gitarr,غيتار,kaban,گیتار,гітара,gitara,guitarra,gitara,kitarë
homework,(noun),läxa,العمل في المنزل,shaqada guriga,مشق شب,Домашня робота,Praca domowa,tarea,zadaća,detyre shtepie
leader,(noun),ledare,قائد,hogaamiye,رهبر,лідер,lider,líder,lider,drejtues
mom,(noun),mamma,أم,hooyo gaaban,مامان,мама,mama,mamá,mama,mami
outcome,(noun),resultat,حصيلة,natiijo,نتیجه,результат,wynik,resultado,ishod,përfundim
permission,(noun),lov,إذن,ogolaanshada,اجازه,дозвіл,pozwolenie,permiso,dozvola,leje
presentation,(noun),presentation,عرض تقديمي,bandhig,ارائه,презентація,prezentacja,presentación,prezentacija,prezantim
promotion,(noun),befordran,ترقية,kor u qaadasho,ترویج,просування,awans,promoción,promocija,promovim
reflection,(noun),reflexion,انعكاس,hummaag noqod,بازتاب,роздуми,odbicie,reflexión,refleksija,reflektim
refrigerator,(noun),kylskåp,ثلاجة,tallaajad,یخچال,холодильник,lodówka,refrigerador,hladnjak,frigorifer
resolution,(noun),upplösning,دقة,qaalkarka,وضوح,роздільна здатність,rezolucja,resolución,rezolucija,zgjidhje
revenue,(noun),inkomst,ربح,dakhliyad,درآمد,дохід,przychód,ganancia,prihod,Të ardhurat
session,(noun),session,حصة,kulan,جلسه,сеанс,sesja,sesión,sesija,seancë
singer,(noun),sångare,مغني,Fanaan,خواننده,співачка,piosenkarz,cantante,pjevač,këngëtar
tennis,(noun),tennis,تنس,kubbad miis,تنیس,теніс,tenis,tenis,tenis,tenis
basket,(noun),korg,سلة,dambiil,سبد,кошик,kosz,cesta,korpa,shportë
bonus,(noun),bonus,علاوة,gunno,جایزه,бонус,premia,prima,bonus,bonus
cabinet,(noun),skåp,خزانة,armaajo,کابینه,кабінет,gabinet,gabinete,kabinet,kabinet
childhood,(noun),barndom,طفولة,caruurnimo,دوران کودکی,дитинство,dzieciństwo,infancia,djetinjstvo,fëmijëri
church,(noun),kyrka,كنيسة,keniisad,کلیسا,церква,kościół,iglesia,crkva,kishë
clothes,(noun),kläder,ملابس,dhar,لباس ها,одяг,odzież,ropa,odjeća,rroba
coffee,(noun),kaffe,قهوة,bun,قهوه,кава,Kawa,café,kafa,kafe
dinner,(noun),middag,عشاء,casho,شام,вечеря,kolacja,cena,večerati,darkë
drawing,(noun),teckning,رسم,sawiridda,نقاشی,малювання,rysunek,dibujo,crtanje,vizatim
hair,(noun),hår,شعر,xaad,مو,волосся,włosy,cabello,kosa,qime
hearing,(noun),hörsel,سمع,dhegeysi,شنوایی,слухання,przesłuchanie,audiencia,sluh,dëgjim
initiative,(noun),initiativ,مبادرة,hindisi,ابتکار عمل,ініціатива,inicjatywa,iniciativa,inicijativa,iniciativë
judgment,(noun),dom,حكم,go'aan maxkamadeed,داوری,судження,osąd,juicio,osuda,gjykim
lab,(noun),labb,مختبر,shaybaarka,آزمایشگاه,лабораторія,laboratorium,laboratorio,laboratorija,laborator
measurement,(noun),mått,قياس,cabbiraad,اندازه گیری,вимірювання,pomiar,medición,mjerenje,matje
mode,(noun),läge,وضع,hab,حالت,режим,tryb,modo,režim,modë
mud,(noun),lera,طين,dhoobo,گل و لای,грязь,błoto,lodo,blato,baltë
orange,(noun),orange,البرتقالي,oranji,نارنجی,оранжевий,Pomarańczowy,naranja,narandžasti,portokall
poetry,(noun),poesi,شِعر,gabay,شعر,поезія,poezja,poesía,poezija,poezi
police,(noun),polis,شرطة,boolis,پلیس,поліція,Policja,policía,policija,polici
possibility,(noun),möjlighet,إمكانية,suurtogal,امکان پذیری,можливість,możliwość,posibilidad,mogućnost,mundësi
procedure,(noun),procedur,إجراء,hab wax loo qabto,روش,процедура,procedura,procedimiento,postupak,procedurë
queen,(noun),drottning,ملكة,boqorad,ملکه,королева,królowa,reina,kraljica,mbretëreshë
ratio,(noun),förhållande,نسبة,saami qumman,نسبت,співвідношення,stosunek,relación,omjer,raport
relation,(noun),relation,علاقة,xiriirto,رابطه,відношення,relacja,relación,relacija,lidhje
restaurant,(noun),restaurang,مطعم,makhaayad,رستوران,ресторан,restauracja,restaurante,restoran,restorant
satisfaction,(noun),tillfredsställelse,إشباع,raalli gelinta,رضایت,задоволення,zadowolenie,satisfacción,zadovoljstvo,kënaqësi
sector,(noun),sektor,قطاع,waax,بخش,сектор,sektor,sector,sektor,sektor
signature,(noun),signatur,إمضاء,saxiix,امضاء,підпис,podpis,firma,potpis,nënshkrim
significance,(noun),betydelse,دلالة,ahmiyad,اهمیت,значення,znaczenie,significado,značaj,domethënie
song,(noun),låt,أغنية,hees,ترانه,пісня,piosenka,canción,pjesma,këngë
tooth,(noun),tand,سن,ilig,دندان,зуб,ząb,diente,zub,dhëmbëz
town,(noun),stad,بلدة,magaalo,شهر,місто,miasto,ciudad,grad,qytet
vehicle,(noun),fordon,عربة,gaari,وسیله نقلیه,транспортний засіб,pojazd,vehículo,vozilo,automjet
volume,(noun),volym,مقدار,mug,جلد,обсяг,tom,volumen,zapremina,vëllim
wife,(noun),fru,زوجة,naag,زن,дружина,żona,esposa,supruga,grua
accident,(noun),olycka,حادثة,shil,تصادف,нещасний випадок,wypadek,accidente,nesreća,aksident
airport,(noun),flygplats,مطار,garoon dayuuradeed,فرودگاه,аеропорт,Lotnisko,aeropuerto,aerodrom,aeroport
appointment,(noun),utnämning,ميعاد,jago u magacaasho,وقت ملاقات,призначення,spotkanie,cita,sastanak,takim
arrival,(noun),ankomst,وصول,imaanshaha,ورود,прибуття,przyjazd,llegada,dolazak,mbërritja
assumption,(noun),antagande,افتراض,u malaynta,فرض,припущення,założenie,suposición,pretpostavka,supozim
baseball,(noun),baseboll,البيسبول,kubbad kubado,بیسبال,бейсбол,baseball,béisbol,bejzbol,bejsboll
chapter,(noun),kapitel,الفصل,cutub,بخش,глава,rozdział,capítulo,poglavlje,kapitull
committee,(noun),utskott,لجنة,guddi,کمیته,комітет,komisja,comité,odbor,komision
conversation,(noun),konversation,محادثة,sheekeysi,گفتگو,розмова,rozmowa,conversación,razgovor,bisedë
database,(noun),databas,قاعدة البيانات,xog badeedo,بخش پایگاه داده,база даних,Baza danych,base de datos,baza podataka,të dhëna
enthusiasm,(noun),entusiasm,حماس,xamaasad,اشتیاق,ентузіазм,entuzjazm,entusiasmo,entuzijazam,entuziazëm
error,(noun),fel,خطأ,khalad,خطا,помилка,błąd,error,greška,gabim
explanation,(noun),förklaring,توضيح,sharax,توضیح,пояснення,wyjaśnienie,explicación,objašnjenje,shpjegim
farmer,(noun),jordbrukare,مزارع,beerelay,مزرعه دار,фермер,rolnik,agricultor,farmer,fermer
gate,(noun),Port,بوابة,ganjeelo,دروازه,ворота,brama,puerta,kapija,portë
girl,(noun),flicka,بنت,gabadh,دختر,дівчинка,dziewczyna,chica,djevojka,vajze
hall,(noun),hall,قاعة,gole,سالن,зал,hala,sala,dvorana,sallë
historian,(noun),historiker,مؤرخ,taariikh yaqaane,تاریخ شناس,історик,historyk,historiador,istoričar,historian
hospital,(noun),sjukhus,مستشفى,isbitaal,بیمارستان,лікарня,szpital,hospital,bolnica,spital
injury,(noun),skada,إصابة,dhaawac,جراحت,травма,obrażenia,lesión,povreda,lëndim
instruction,(noun),instruktion,تعليمات,waxbaridda,دستورالعمل,інструкція,instrukcja,instrucción,poučavanje,udhëzim
maintenance,(noun),underhåll,صيانة,dayac-tir,نگهداری,технічне обслуговування,konserwacja,mantenimiento,održavanje,mirëmbajtje
manufacturer,(noun),tillverkare,الصانع,wax soo saare,سازنده,виробник,producent,fabricante,proizvođač,prodhues
meal,(noun),måltid,وجبة,cunto,وعده غذایی,їжа,posiłek,comida,obrok,vakt
perception,(noun),uppfattning,تصور,garashada,ادراک,сприйняття,postrzeganie,percepción,percepcija,perceptim
pie,(noun),paj,فطيرة,siin,پیت کردن,пиріг,ciasto,tarta,pie,byrek
poem,(noun),dikt,قصيدة,gabay,شعر,вірш,wiersz,poema,pjesma,poemë
presence,(noun),närvaro,حضور,joogitaan,حضور,наявність,obecność,presencia,prisustvo,prani
proposal,(noun),förslag,عرض,qorshe,پیشنهاد,пропозиція,wniosek,propuesta,prijedlog,propozim
reception,(noun),reception,استقبال,soo dhowaynta,پذیرایی,прийом,przyjęcie,recepción,recepcija,pritje
replacement,(noun),ersättning,إستبدال,beddelaad,تعویض,заміна,wymiana,reemplazo,zamjena,zëvendësim
revolution,(noun),rotation,ثورة,wareeg,انقلابی,революція,rewolucja,revolución,revolucija,revolucion
river,(noun),flod,نهر,webi,رودخانه,річка,rzeka,río,rijeka,lumi
son,(noun),son,ابن,wiil,فرزند پسر,син,syn,hijo,sin,djalë
speech,(noun),Tal,خطاب,hadal,سخن، گفتار,промова,przemówienie,discurso,govor,fjalim
tea,(noun),te,شاي,shaah,چای,чай,herbata,té,čaj,çaj
village,(noun),by,قرية,tuulo,دهکده,село,wieś,aldea,selo,fshat
warning,(noun),varning,تحذير,digniin,هشدار,УВАГА,ostrzeżenie,advertencia,upozorenje,paralajmërim
winner,(noun),vinnare,الفائز,guuleysato,برنده,переможець,zwycięzca,ganador,pobjednik,fitues
worker,(noun),arbetstagare,عامل,shaqaaley,کارگر,працівник,pracownik,obrero,radnik,punëtor punëtori
writer,(noun),författare,كاتب,qoraa,نویسنده,письменник,pisarz,escritor,pisac,shkrimtar
assistance,(noun),bistånd,مساعدة,caawimaad,معاونت,допомога,wsparcie,asistencia,pomoć,ndihmë
breath,(noun),andetag,يتنفس,neef,نفس,дихати,oddech,aliento,udisati,frymë
buyer,(noun),köpare,مشتر,iibsade,خریدار,покупець,kupujący,comprador,kupac,blerës
chest,(noun),bröst,صدر,xabad,قفسه سینه,груди,klatka piersiowa,pecho,prsa,gjoks
chocolate,(noun),choklad,شوكولاتة,shukulaato,شکلات,шоколад,czekolada,chocolate,čokolada,cokollate
conclusion,(noun),slutsats,خاتمة,gabagabo,نتیجه,висновок,wniosek,conclusión,zaključak,përfundim
contribution,(noun),bidrag,مساهمة,tabarruc,مشارکت,внесок,składka,contribución,doprinos,kontribut
cookie,(noun),kaka,بسكويت,kariye,کوکی,печиво,ciastko,Galleta,kolačić,biskotë
courage,(noun),mod,شجاعة,geesinimo,شجاعت,мужність,odwaga,coraje,hrabrost,guxim
dad,(noun),pappa,أب,aabbe,پدر,тато,tata,papá,tata,baba
desk,(noun),skrivbord,مكتب,miis,میز مطالعه,стіл,biurko,escritorio,stol,tavolinë
drawer,(noun),låda,الدرج,dhar qalin gaaban,کشو,ящик,szuflada,cajón,crtač,sirtar
establishment,(noun),etablering,مؤسسة,aasaasidda,استقرار,створення,ustanowienie,establecimiento,osnivanje,themelim
examination,(noun),undersökning,فحص,imtixaan,معاینه,обстеження,badanie,examen,ispitivanje,provim
garbage,(noun),sopor,قمامة,qashin,زباله,сміття,śmieci,basura,smeće,mbeturina
grocery,(noun),livsmedelsaffär,خضروات,ra'ursidaa,خواربار,продуктовий продукт,sklep spożywczy,tienda de comestibles,namirnica,ushqimore
honey,(noun),honung,عسل,malab,عسل,мед,Miód,Miel,med,mjaltë
impression,(noun),intryck,انطباع,koobi,احساس؛ عقیده؛ گمان,враження,wrażenie,impresión,utisak,përshtypje
improvement,(noun),förbättring,تحسين,fiicnaansho,بهبودی,вдосконалення,poprawa,mejora,poboljšanje,përmirësim
independence,(noun),oberoende,استقلال,xorriyad,استقلال,незалежність,niezależność,independencia,nezavisnost,pavarësi
insect,(noun),insekt,حشرة,cayayaan,حشره,комаха,owad,insecto,insekt,insekt
inspection,(noun),inspektion,تقتيش,baaris,بازرسی,огляд,kontrola,inspección,inspekcija,inspektim
inspector,(noun),inspektör,مفتش,kormeere,بازرس,інспектор,inspektor,inspector,inspektor,inspektor
king,(noun),kung,ملِك,boqor,پادشاه,король,król,rey,kralj,sulem
ladder,(noun),stege,سُلُّم,jaranjaro,نردبان,драбина,drabina,escalera,ljestve,shkallë
menu,(noun),meny,قائمة طعام,warqad qiimo,منو,меню,menu,menú,meni,menu
penalty,(noun),straff,جزاء,ciqaab,مجازات,штраф,kara,multa,kazna,gjobitje
piano,(noun),piano,بيانو,qalab muusik,پیانو,фортепіано,fortepian,piano,klavir,piano
potato,(noun),potatis,البطاطس,baradho,سیب زمینی,картопля,Ziemniak,papa,krompir,patate
profession,(noun),yrke,مهنة,xirfad,حرفه,професія,zawód,profesión,profesija,profesion
professor,(noun),professor,أستاذ,barafasoor,استاد,професор,profesor,profesor,profesor,profesor
quantity,(noun),kvantitet,كمية,tiro,تعداد,кількість,ilość,cantidad,količina,sasi
reaction,(noun),reaktion,رد فعل,ficil celinta,واکنش,реакція,reakcja,reacción,reakcija,reagim
requirement,(noun),krav,متطلبات,baahansho,الزام,вимога,wymóg,requisito,zahtjev,kërkesë
salad,(noun),sallad,سلطة,saladh,سالاد,салат,Sałatka,ensalada,salata,sallatë
sister,(noun),syster,أخت,walaasha,خواهر,сестра,siostra,hermana,sestra,motër
supermarket,(noun),mataffär,سوبر ماركت,suuq weyn,سوپر مارکت,супермаркет,supermarket,supermercado,supermarket,supermarket
tongue,(noun),tunga,لسان,carrab,زبان,язик,język,lengua,jezik,gjuhë
weakness,(noun),svaghet,ضعف,daciifnimo,ضعف,слабість,słabość,debilidad,slabost,dobësi
wedding,(noun),bröllop,قِرَان,aroos,عروسی,весілля,ślub,boda,vjenčanje,martesë
affair,(noun),affär,شأن,arrin,کار,справа,romans,amorío,afera,çështje
ambition,(noun),ambition,طموح,hami,هدف - آرزو,амбіція,ambicja,ambición,ambicija,ambicie
analyst,(noun),analytiker,المحلل,falanqeeye,تحلیلگر,аналітик,analityk,analista,analitičar,analist
apple,(noun),äpple,تفاحة,tufaax,سیب,яблук,jabłko,manzana,jabuka,mollë
assignment,(noun),uppdrag,تكليف,shaqo,وظیفه,призначення,zadanie,asignación,zadatak,detyrë
assistant,(noun),assistent,مساعد,naag caawiye ah,دستیار,помічник,asystent,asistente,asistent,ndihmës
bathroom,(noun),badrum,حمام,musqul,حمام,ванна кімната,łazienka,baño,kupatilo,banjë
bedroom,(noun),sovrum,غرفة نوم,qol jiif,اتاق خواب,спальня,sypialnia,dormitorio,spavaca soba,dhomë gjumi
beer,(noun),öl,جعة,biir,آبجو,пиво,piwo,cerveza,pivo,birrë
birthday,(noun),födelsedag,عيد ميلاد,maalinta dhalashada,روز تولد,день народження,urodziny,cumpleaños,rođendan,ditëlindje
celebration,(noun),firande,احتفال,dabbaal-deg,جشن,святкування,uroczystość,celebracion,proslava,festë
championship,(noun),mästerskap,بطولة,horyaalnimo,قهرمانی,чемпіонат,mistrzostwo,campeonato,prvenstvo,kampionat
cheek,(noun),kind,خدّ,dhaban,گونه,щока,policzek,mejilla,obraz,faqe
client,(noun),klient,عميل,macmiilad,مشتری,клієнт,klient,cliente,klijent,klient
consequence,(noun),Följd,عاقبة,natiijo,نتیجه,наслідок,konsekwencja,consecuencia,posljedica,pasojë
departure,(noun),avresa,رحيل,bixitaan,عزیمت، خروج,відхід,wyjazd,partida,odlazak,largim
diamond,(noun),diamant,الماس,dheemman,الماس,алмаз,diament,diamante,dijamant,diamant
dirt,(noun),smuts,التراب,wasakh,خاک,бруд,brud,suciedad,prljavština,i poshtër
ear,(noun),öra,أذن,dheg,گوش,вуха,ucho,oreja,uho,vesh
fortune,(noun),förmögenhet,حظ,maal,ثروت,багатство,fortuna,fortuna,bogatstvo,fat
friendship,(noun),vänskap,صداقة,saaxiibtinimo,دوستی,дружба,przyjaźń,amistad,prijateljstvo,miqësi
funeral,(noun),begravning,جنازة,Aas,مراسم خاکسپاری,похорон,pogrzeb,funeral,sahrana,funeral
gene,(noun),gen,الجين,waddo wa eega,ژن,ген,gen,gene,gen,gjen
girlfriend,(noun),flickvän,صديقة,saaxiibta,دوست دختر,подруга,dziewczyna,novia,djevojka,e dashur
hat,(noun),hatt,قبعة,koofiyad,کلاه,шапка,kapelusz,sombrero,šešir,kapelë
indication,(noun),indikation,إشارة,tusmo,نشانه,вказівка,wskazanie,indicación,indikacija,tregues
intention,(noun),avsikt,نيّة,ujeeddo,قصد,намір,zamiar,intención,namjera,qëllim
lady,(noun),lady,سيدة,murwo,خانم,леді,dama,dama,gospođa,zonjë
midnight,(noun),midnatt,منتصف الليل,habeen bar,نیمه شب,опівночі,północ,medianoche,ponoć,mesnatë
negotiation,(noun),förhandling,تفاوض,waan-waan,مذاکره,переговори,negocjacja,negociación,pretres,bisedime
obligation,(noun),skyldighet,فرض,waajib,تعهد,зобов'язання,obowiązek,obligación,obaveza,detyrim
passenger,(noun),passagerare,راكب,Rakaab,مسافر,пасажир,pasażer,pasajero,putnik,pasagjer
pizza,(noun),pizza,بيتزا,pizza,پیتزا,піца,Pizza,pizza,pica,pica
platform,(noun),plattform,منصة,boosteejo,سکو,платформа,platforma,plataforma,platforma,platformë
poet,(noun),poet,شاعر,gabaydo,شاعر,поет,poeta,poeta,pjesnik,poet
pollution,(noun),förorening,تلوث,wasakhda,آلودگی,забруднення,zanieczyszczenie,contaminación,zagađenje,ndotje
recognition,(noun),erkännande,تعرُّف,aqoonsi,به رسمیت شناختن,визнання,uznanie,reconocimiento,priznanje,njohje
reputation,(noun),rykte,سمعة,sumcad,شهرت، آبرو,репутація,reputacja,reputación,reputacija,reputacion
shirt,(noun),skjorta,قميص,shaati,پیراهن,сорочка,koszula,camisa,majica,këmishë
sir,(noun),herr,سيد,mudane,آقا,сер,Pan,Señor,gospodin,zotëri
speaker,(noun),högtalare,مكبر الصوت,samaacad,بلندگو,оратор,głośnik,vocero,govornik,folës
stranger,(noun),främling,شخص غريب,ajnabiyad,غریبه,незнайомець,nieznajomy,extraño,stranac,i huaj
surgery,(noun),kirurgi,جراحة,qalliin,عمل جراحی,хірургія,chirurgia,cirugía,hirurgija,kirurgji
sympathy,(noun),sympati,تعاطف,naxariis,ابراز همدردی,симпатія,współczucie,compasión,simpatija,simpati
tale,(noun),berättelse,حكاية,sheeko,داستان,казка,opowieść,cuento,tale,përrallë
throat,(noun),hals,حُلقُوم,cunaha,گلو,горло,gardło,garganta,grlo,fyt
trainer,(noun),tränare,مدرب,tababarto,مربی,тренер,trener,entrenador,trener,trainer
uncle,(noun),farbror,عم,adeer,دایی,дядько,wujek,tío,ujak,xhaxha
youth,(noun),ungdom,شباب,dhallinyaro,جوانان,молодь,młodzież,juventud,mladost,rinia
time,"(noun, adjective, verb)",tid,وقت,waqti,زمان,час,czas,tiempo,vrijeme,kohë
work,"(noun, adjective, verb)",arbete,عمل,shaqo,کار,працювати,praca,trabajar,raditi,punim
film,"(noun, verb)",filma,فيلم,xuub,فیلم,плівка,film,película,film,film
water,"(noun, verb, adjective)",vatten,ماء,biyo,اب,вода,woda,agua,voda,ujësjellës
money,"(noun, adjective)",pengar,مال,lacag,پول,гроші,pieniądze,dinero,novac,para
example,"(noun, verb)",exempel,مثال,tusaale,مثال,приклад,przykład,ejemplo,primer,shembull
while,"(noun, conjunction, preposition)",medan,بينما,inkastoo,در حالی که,в той час,chwila,mientras,dok,derisa
business,"(noun, adjective)",företag,عمل,ganacsi,کسب و کار,бізнес,biznes,negocio,posao,punë
study,"(noun, verb)",studie,يذاكر,waxbarasho,مطالعه,вивчення,badanie,estudiar,studija,studioj
game,"(noun, adjective, verb)",spel,لعبة,cayaar,بازی,грі,gra,juego,igra,lojë
life,"(noun, adjective)",liv,حياة,nolol,زندگی,життя,życie,vida,život,jetë
form,"(noun, verb)",form,استمارة,qaab,فرم,форма,formularz,forma,obrazac,formoj
air,"(noun, verb)",luft,هواء,hawo,هوا,повітря,powietrze,aire,zrak,ajër
day,"(noun, adjective)",dag,يوم,maalin,روز,день,dzień,día,dan,ditë
place,"(noun, verb)",plats,مكان,meel,محل,місце,miejsce,lugar,mjesto,vend
number,"(noun, verb)",siffra,رقم,tirada,عدد,число,numer,número,broj,numër
part,"(noun, verb, adverb)",del,جزء,kala tegid,بخش,розлучатися,część,parte,dio,pjesë
field,"(noun, verb, adjective)",fält,مجال,beer,رشته,поле,pole,campo,polje,fushë
fish,"(noun, verb)",fisk,سمكة,kalluun,ماهی,риба,ryba,pez,riba,peshk
back,"(noun, adverb, verb)",tillbaka,خلف,xagga gadaale,بازگشت,спинка,z powrotem,atrás,natrag,i prapambetur
process,"(noun, verb)",bearbeta,عملية,hab loo qabid,روند,обробка,proces,proceso,proces,përpunoj
heat,"(noun, verb)",värme,حرارة,kuleyl,حرارت,спека,ciepło,calor,toplovati,nxehet
hand,"(noun, verb)",hand,يُسلِّم,gacan,دست,рука,ręka,mano,ručno,dorë
experience,"(noun, verb)",erfarenhet,خبرة,khibrad,تجربه,досвід,doświadczenie,experiencia,iskustvo,përvojë
job,"(noun, verb)",jobb,وظيفة,shaqo,کار,робота,stanowisko,trabajo,posao,punë
book,"(noun, verb)",bok,كتاب,buug,کتاب,книга,książka,libro,knjiga,rezervoj
end,"(noun, verb)",slutet,نهاية,dhammaad,پایان,кінець,koniec,fin,kraj,mbaroj
point,"(noun, verb)",punkt,نقطة,bar,نقطه,точка,punkt,punto,tačka,pikë
type,"(noun, verb)",typ,يكتب,teeb ku qorid,نوع,тип,typ,tipo,vrsta,lloj
home,"(noun, adjective, adverb)",Hem,بيت,guri,خانه,домашній,dom,hogar,Dom,shtëpi
economy,"(noun, adjective)",ekonomi,اقتصاد,dhaqaalo,اقتصاد,економія,gospodarka,economía,ekonomija,ekonomi
value,"(noun, verb)",värde,قيمة,qiimaha,ارزش,цінність,wartość,valor,vrijednost,vlerë
body,"(noun, verb)",kropp,جسم,jir,بدنه,тіло,ciało,cuerpo,tijelo,trup
market,"(noun, verb)",marknadsföra,سوق,suuq,بازار,ринок,rynek,mercado,tržište,tregtar
guide,"(noun, verb)",guide,مرشد,hage,راهنما,путівник,przewodnik,guía,vodič,udhëtar
interest,"(noun, verb)",intressera,اهتمام,xiiseynta,علاقه,інтерес,odsetki,interés,interesovanje,interes
state,"(noun, verb)",stat,ولاية,sheegid,حالت,держави,państwo,estado,stanje,gjendje
radio,"(noun, verb)",radio,مذياع,raadye,رادیو,радіо,radio,radio,radio,radio
course,"(noun, verb)",kurs,دورة,koorso,دوره,курс,kurs,curso,kurs,kurs
company,"(noun, verb)",företag,شركة,wehel,شرکت,компанія,firma,compañía,društvo,kompani
price,"(noun, verb)",pris,سعر,qiimo,قیمت,ціна,cena,precio,Cijena,çmim
size,"(noun, verb, adjective)",storlek,مقاس,weynaan,اندازه,розмір,rozmiar,tamaño,veličina,madhësi
card,"(noun, verb)",kort,بطاقة,turub,کارت,карта,karta,tarjeta,karta,karton
list,"(noun, verb)",lista,قائمة,liis ku qorid,لیست,список,lista,lista,popis,listë
mind,"(noun, verb)",sinne,عقل,maskax,فکر,розум,umysł,mente,um,mend
trade,"(noun, verb)",handel,تجارة,ganacsasho,تجارت,торгувати,handel,comercio,trgovina,tregti
line,"(noun, verb)",linje,خط,xariiq,خط,лінія,linia,línea,linija,linjë
care,"(noun, verb)",vård,رعاية,daryeel,اهميت دادن,турбота,opieka,cuidado,briga,kujdes
group,"(noun, verb)",grupp,مجموعة,koox,گروه,група,Grupa,grupo,grupa,grupoj
risk,"(noun, verb)",risk,مخاطرة,khatar,خطر,ризик,ryzyko,riesgo,rizik,rrezik
word,"(noun, verb, interjection)",ord,كلمة,erey,کلمه,слово,słowo,palabra,reč,fjalë
fat,"(noun, adjective, verb)",fett,سمين,caddiin,چربی,жир,tłuszcz,gordo,debeo,i trashë
force,"(noun, verb)",tvinga,قوة,xoog,زور,примушувати,siła,fuerza,sila,detyroj
key,"(noun, adjective, verb)",nyckel,مفتاح,fure,کلید,ключ,klucz,llave,ključ,Celës
light,"(noun, verb, adjective)",ljus,ضوء,iftiin,سبک,світлий,światło,luz,svjetlost,i ndezur
training,"(noun, adjective)",Träning,تمرين,tababar,آموزش,навчання,szkolenie,capacitación,obuka,stërvitje
name,"(noun, verb, adjective)",namn,اسم,magac,نام,назва,nazwa,nombre,ime,emër
school,"(noun, verb)",skola,مدرسة,dugsi,مدرسه,школа,szkoła,escuela,školski,shkollë
top,"(noun, adjective, verb)",topp,قمة,dusha kore,بالا,топ,szczyt,arriba,vrh,i lartë
amount,"(noun, verb)",belopp,كمية,tiro,میزان,обсяг,kwota,cantidad,iznos,sasi
level,"(noun, adjective, verb)",nivå,مستوى,siman,مرحله,рівень,poziom,nivel,razina,rrafshoj
order,"(noun, verb)",beställa,طلب,hab,سفارش,наказ,zamówienie,orden,naručiti,urdhër
practice,"(noun, verb)",öva,يمارس,tababar qaadasho,تمرین,практикувати,ćwiczyć,práctica,vježbati,praktikoj
research,"(noun, verb)",forskning,بحث,baarid,پژوهش,дослідження,badania,investigación,istraživanje,hulumtim
sense,"(noun, verb)",känsla,حاسة,macno,احساس، مفهوم,відчуття,sens,sentido,smisao,kuptim
service,"(noun, verb)",service,خدمة,adeeg huteel,سرویس,послуга,praca,servicio,servis,shërbej
piece,"(noun, verb)",bit,قطعة,gabal,قطعه,шматок,sztuka,pedazo,komad,pjesë
web,"(noun, verb)",webb,الويب,xuub caaro,وب,павутина,sieć,web,Web,rrjet
boss,"(noun, verb, adjective)",chef,رئيس,maamuliyad,رئیس,бос,szef,jefe,šef,shef
sport,"(noun, verb)",sport,رياضة,cayaar,ورزش,спортивний,sport,deporte,sport,sport
